0.0000000,,0.0005000,,0.0010000,,0.0020000,,0.0050000,,0.0100000,,0.0200000,,0.0400000,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0673315,0.9681687,0.0317758,1.1000659,0.0222574,1.1871338,0.0401723,1.0505109,0.0973781,0.9360700,0.140162647,0.920830301,0.207391142,0.927029978,0.349677283,0.964147389
0.0717052,0.9608082,0.0346428,1.0806446,0.0238794,1.1683794,0.0430467,1.0371188,0.0996267,0.9347341,0.146001418,0.920431714,0.214592513,0.928590751,0.367229159,0.968055508
0.0762218,0.9541177,0.0372362,1.0659125,0.0251032,1.1556537,0.0460414,1.0243967,0.1,0.93694517,0.150288433,0.920035147,0.220893557,0.930544054,0.386521541,0.972354893
0.0807235,0.9487671,0.0401723,1.0505109,0.0265859,1.1415888,0.0486705,1.0156940,0.103472362,0.933806205,0.159480305,0.920025049,0.22873345,0.932496346,0.408339687,0.976262002
0.0846513,0.9440847,0.0430467,1.0371188,0.0284179,1.1261853,0.0516406,1.0056515,0.107303907,0.931450151,0.165140536,0.919627472,0.238261825,0.934839274,0.430110858,0.980561261
0.0892094,0.9400737,0.0460414,1.0243967,0.0299113,1.1141301,0.0545558,0.9976191,0.111939884,0.929093087,0.169611528,0.920406219,0.249109672,0.93796486,0.452035366,0.983685964
0.0939549,0.9374032,0.0486705,1.0156940,0.0317758,1.1000659,0.0588574,0.9862394,0.115998869,0.926737159,0.175110796,0.920400791,0.25929438,0.940699559,0.477551598,0.987984718
0.0973781,0.9360700,0.0516406,1.0056515,0.0346428,1.0806446,0.0634590,0.9762002,0.12002677,0.925948063,0.180252545,0.921179159,0.270496982,0.943825524,0.506383488,0.991499551
0.0996267,0.9347341,0.0545558,0.9976191,0.0372362,1.0659125,0.0673315,0.9681687,0.124841323,0.923983149,0.185820842,0.922348919,0.284285318,0.947733517,0.539752485,0.995405146
0.1,0.93694517,0.0588574,0.9862394,0.0401723,1.0505109,0.0717052,0.9608082,0.129849,0.922801525,0.190286083,0.92312817,0.298998292,0.951641383,0.572764579,0.998528208
0.103472362,0.933806205,0.0634590,0.9762002,0.0430467,1.0371188,0.0762218,0.9541177,0.135258134,0.922011294,0.195728126,0.924298308,0.316110459,0.956331656,0.602854764,1
0.107303907,0.931450151,0.0673315,0.9681687,0.0460414,1.0243967,0.0807235,0.9487671,0.140162647,0.920830301,0.200282761,0.925077685,0.332964306,0.96023927,1,1
0.111939884,0.929093087,0.0717052,0.9608082,0.0486705,1.0156940,0.0846513,0.9440847,0.146001418,0.920431714,0.207391142,0.927029978,0.349677283,0.964147389,,
0.115998869,0.926737159,0.0762218,0.9541177,0.0516406,1.0056515,0.0892094,0.9400737,0.150288433,0.920035147,0.214592513,0.928590751,0.367229159,0.968055508,,
0.12002677,0.925948063,0.0807235,0.9487671,0.0545558,0.9976191,0.0939549,0.9374032,0.159480305,0.920025049,0.220893557,0.930544054,0.386521541,0.972354893,,
0.124841323,0.923983149,0.0846513,0.9440847,0.0588574,0.9862394,0.0973781,0.9360700,0.165140536,0.919627472,0.22873345,0.932496346,0.408339687,0.976262002,,
0.129849,0.922801525,0.0892094,0.9400737,0.0634590,0.9762002,0.0996267,0.9347341,0.169611528,0.920406219,0.238261825,0.934839274,0.430110858,0.980561261,,
0.135258134,0.922011294,0.0939549,0.9374032,0.0673315,0.9681687,0.1,0.93694517,0.175110796,0.920400791,0.249109672,0.93796486,0.452035366,0.983685964,,
0.140162647,0.920830301,0.0973781,0.9360700,0.0717052,0.9608082,0.103472362,0.933806205,0.180252545,0.921179159,0.25929438,0.940699559,0.477551598,0.987984718,,
0.146001418,0.920431714,0.0996267,0.9347341,0.0762218,0.9541177,0.107303907,0.931450151,0.185820842,0.922348919,0.270496982,0.943825524,0.506383488,0.991499551,,
0.150288433,0.920035147,0.1,0.93694517,0.0807235,0.9487671,0.111939884,0.929093087,0.190286083,0.92312817,0.284285318,0.947733517,0.539752485,0.995405146,,
0.159480305,0.920025049,0.103472362,0.933806205,0.0846513,0.9440847,0.115998869,0.926737159,0.195728126,0.924298308,0.298998292,0.951641383,0.572764579,0.998528208,,
0.165140536,0.919627472,0.107303907,0.931450151,0.0892094,0.9400737,0.12002677,0.925948063,0.200282761,0.925077685,0.316110459,0.956331656,0.602854764,1,,
0.169611528,0.920406219,0.111939884,0.929093087,0.0939549,0.9374032,0.124841323,0.923983149,0.207391142,0.927029978,0.332964306,0.96023927,1,1,,
0.175110796,0.920400791,0.115998869,0.926737159,0.0973781,0.9360700,0.129849,0.922801525,0.214592513,0.928590751,0.349677283,0.964147389,,,,
0.180252545,0.921179159,0.12002677,0.925948063,0.0996267,0.9347341,0.135258134,0.922011294,0.220893557,0.930544054,0.367229159,0.968055508,,,,
0.185820842,0.922348919,0.124841323,0.923983149,0.1,0.93694517,0.140162647,0.920830301,0.22873345,0.932496346,0.386521541,0.972354893,,,,
0.190286083,0.92312817,0.129849,0.922801525,0.103472362,0.933806205,0.146001418,0.920431714,0.238261825,0.934839274,0.408339687,0.976262002,,,,
0.195728126,0.924298308,0.135258134,0.922011294,0.107303907,0.931450151,0.150288433,0.920035147,0.249109672,0.93796486,0.430110858,0.980561261,,,,
0.200282761,0.925077685,0.140162647,0.920830301,0.111939884,0.929093087,0.159480305,0.920025049,0.25929438,0.940699559,0.452035366,0.983685964,,,,
0.207391142,0.927029978,0.146001418,0.920431714,0.115998869,0.926737159,0.165140536,0.919627472,0.270496982,0.943825524,0.477551598,0.987984718,,,,
0.214592513,0.928590751,0.150288433,0.920035147,0.12002677,0.925948063,0.169611528,0.920406219,0.284285318,0.947733517,0.506383488,0.991499551,,,,
0.220893557,0.930544054,0.159480305,0.920025049,0.124841323,0.923983149,0.175110796,0.920400791,0.298998292,0.951641383,0.539752485,0.995405146,,,,
0.22873345,0.932496346,0.165140536,0.919627472,0.129849,0.922801525,0.180252545,0.921179159,0.316110459,0.956331656,0.572764579,0.998528208,,,,
0.238261825,0.934839274,0.169611528,0.920406219,0.135258134,0.922011294,0.185820842,0.922348919,0.332964306,0.96023927,0.602854764,1,,,,
0.249109672,0.93796486,0.175110796,0.920400791,0.140162647,0.920830301,0.190286083,0.92312817,0.349677283,0.964147389,1,1,,,,
0.25929438,0.940699559,0.180252545,0.921179159,0.146001418,0.920431714,0.195728126,0.924298308,0.367229159,0.968055508,,,,,,
0.270496982,0.943825524,0.185820842,0.922348919,0.150288433,0.920035147,0.200282761,0.925077685,0.386521541,0.972354893,,,,,,
0.284285318,0.947733517,0.190286083,0.92312817,0.159480305,0.920025049,0.207391142,0.927029978,0.408339687,0.976262002,,,,,,
0.298998292,0.951641383,0.195728126,0.924298308,0.165140536,0.919627472,0.214592513,0.928590751,0.430110858,0.980561261,,,,,,
0.316110459,0.956331656,0.200282761,0.925077685,0.169611528,0.920406219,0.220893557,0.930544054,0.452035366,0.983685964,,,,,,
0.332964306,0.96023927,0.207391142,0.927029978,0.175110796,0.920400791,0.22873345,0.932496346,0.477551598,0.987984718,,,,,,
0.349677283,0.964147389,0.214592513,0.928590751,0.180252545,0.921179159,0.238261825,0.934839274,0.506383488,0.991499551,,,,,,
0.367229159,0.968055508,0.220893557,0.930544054,0.185820842,0.922348919,0.249109672,0.93796486,0.539752485,0.995405146,,,,,,
0.386521541,0.972354893,0.22873345,0.932496346,0.190286083,0.92312817,0.25929438,0.940699559,0.572764579,0.998528208,,,,,,
0.408339687,0.976262002,0.238261825,0.934839274,0.195728126,0.924298308,0.270496982,0.943825524,0.602854764,1,,,,,,
0.430110858,0.980561261,0.249109672,0.93796486,0.200282761,0.925077685,0.284285318,0.947733517,1,1,,,,,,
0.452035366,0.983685964,0.25929438,0.940699559,0.207391142,0.927029978,0.298998292,0.951641383,,,,,,,,
0.477551598,0.987984718,0.270496982,0.943825524,0.214592513,0.928590751,0.316110459,0.956331656,,,,,,,,
0.506383488,0.991499551,0.284285318,0.947733517,0.220893557,0.930544054,0.332964306,0.96023927,,,,,,,,
0.539752485,0.995405146,0.298998292,0.951641383,0.22873345,0.932496346,0.349677283,0.964147389,,,,,,,,
0.572764579,0.998528208,0.316110459,0.956331656,0.238261825,0.934839274,0.367229159,0.968055508,,,,,,,,
0.602854764,1,0.332964306,0.96023927,0.249109672,0.93796486,0.386521541,0.972354893,,,,,,,,
1,1,0.349677283,0.964147389,0.25929438,0.940699559,0.408339687,0.976262002,,,,,,,,
,,0.367229159,0.968055508,0.270496982,0.943825524,0.430110858,0.980561261,,,,,,,,
,,0.386521541,0.972354893,0.284285318,0.947733517,0.452035366,0.983685964,,,,,,,,
,,0.408339687,0.976262002,0.298998292,0.951641383,0.477551598,0.987984718,,,,,,,,
,,0.430110858,0.980561261,0.316110459,0.956331656,0.506383488,0.991499551,,,,,,,,
